age,gender,income,loan_amount,loan_term,credit_score,employment_years,education,married,dependents,existing_loans,property_area,self_employed,target
28,0,59914.0,422729.0,24,404.0,19,0,0,1,3,0,0,0
44,1,145738.0,151453.0,12,501.0,12,1,1,0,2,1,1,1
31,0,85526.0,59816.0,24,749.0,7,0,1,2,1,2,0,1
37,0,37956.0,456715.0,48,565.0,8,3,1,3,2,2,0,0
28,0,64240.0,411000.0,48,509.0,15,2,1,3,2,1,0,0
55,0,139008.0,253567.0,60,417.0,18,0,0,2,0,0,1,1
55,0,112270.0,554933.0,48,676.0,15,3,1,2,0,1,0,1
53,1,22757.0,635923.0,36,839.0,6,0,1,2,2,0,1,0
25,0,37097.0,256184.0,12,383.0,13,0,1,2,2,0,0,0
62,1,159467.0,338090.0,60,753.0,13,3,1,2,0,0,0,1
59,1,121892.0,357348.0,36,813.0,24,0,1,2,3,0,1,1
61,0,88480.0,222958.0,24,686.0,3,0,1,3,2,1,0,0
48,0,64163.0,317707.0,12,649.0,14,2,1,2,1,2,0,1
27,1,37816.0,132324.0,48,595.0,2,3,0,0,1,2,1,1
29,0,70853.0,263536.0,12,557.0,4,3,1,2,1,2,0,1
28,0,114731.0,311991.0,24,380.0,0,1,1,2,2,2,0,0
32,1,80823.0,66155.0,60,567.0,2,0,1,3,3,2,0,0
54,1,19759.0,381815.0,60,718.0,14,2,1,3,3,2,0,0
53,0,110374.0,681179.0,60,534.0,23,0,0,2,0,1,1,0
43,1,151554.0,500494.0,48,610.0,7,0,0,3,2,0,0,0
44,0,42442.0,189381.0,36,656.0,3,1,0,1,3,2,1,0
57,0,111501.0,171691.0,36,512.0,1,0,0,3,2,1,0,0
55,0,20079.0,516410.0,12,348.0,23,2,0,3,0,2,1,0
64,1,151789.0,483324.0,48,426.0,23,2,0,3,0,2,0,0
60,1,77676.0,74707.0,60,522.0,9,1,1,3,0,0,1,1
42,1,,558477.0,60,578.0,3,0,0,0,1,0,0,0
47,1,90847.0,742974.0,24,707.0,2,2,0,0,2,0,1,0
55,1,111607.0,393299.0,24,804.0,1,0,1,0,0,2,1,1
21,0,82077.0,198492.0,60,593.0,24,0,0,2,2,2,0,1
55,0,56258.0,514112.0,60,576.0,16,0,1,2,1,2,1,0
57,0,155717.0,210102.0,48,737.0,22,1,1,1,1,0,0,1
34,0,137771.0,434274.0,36,406.0,20,0,0,0,0,1,0,1
23,1,56000.0,257285.0,24,719.0,23,2,1,2,0,2,0,1
21,0,44737.0,378404.0,36,728.0,19,0,0,3,3,2,0,1
25,1,,199476.0,48,674.0,22,2,0,3,2,2,0,1
46,0,56565.0,200928.0,60,372.0,12,0,1,0,0,1,1,0
34,1,137614.0,704560.0,36,329.0,4,2,1,1,3,2,0,0
59,1,83155.0,336141.0,60,487.0,20,2,0,1,2,1,0,1
47,0,70487.0,683561.0,60,663.0,8,0,1,3,0,2,0,0
29,0,147948.0,736595.0,12,750.0,24,0,1,1,3,1,0,1
35,0,30342.0,288500.0,36,494.0,24,2,0,0,3,2,0,1
35,0,58806.0,730417.0,36,455.0,21,3,0,3,2,0,0,0
46,1,66770.0,172311.0,60,471.0,5,1,1,2,3,0,1,0
62,0,96623.0,285546.0,48,340.0,4,3,0,2,2,0,1,0
33,0,121177.0,236733.0,12,362.0,24,3,0,1,2,0,0,1
52,1,149026.0,691233.0,60,322.0,9,0,0,3,2,2,1,0
59,0,93629.0,609560.0,24,659.0,7,1,0,3,1,0,0,0
52,0,138993.0,186470.0,24,374.0,6,3,0,2,3,1,0,0
24,0,144944.0,,12,417.0,6,0,0,3,2,0,0,0
50,0,123947.0,358647.0,48,679.0,5,3,0,3,0,0,0,1
57,0,44399.0,46570.0,60,589.0,20,3,1,3,1,0,0,1
43,1,146177.0,370929.0,36,739.0,19,0,0,1,1,2,1,1
59,0,127575.0,573398.0,12,306.0,2,0,1,3,3,0,1,0
35,0,128904.0,539115.0,48,495.0,18,0,1,0,2,1,1,1
63,0,48678.0,119141.0,36,720.0,21,1,1,1,3,0,1,1
49,0,94218.0,52115.0,24,492.0,14,3,0,3,1,0,0,0
56,0,81230.0,79062.0,24,447.0,3,0,0,3,2,0,1,0
33,1,92055.0,668349.0,36,501.0,11,2,1,0,0,1,0,0
52,0,90258.0,334700.0,12,743.0,5,3,0,1,2,0,1,0
27,1,57986.0,430479.0,24,718.0,18,2,1,2,1,1,1,1
42,1,103595.0,566257.0,60,726.0,3,1,0,2,0,1,1,0
48,0,119358.0,437686.0,36,778.0,14,0,0,1,2,0,1,1
22,0,82929.0,,36,774.0,8,2,1,3,0,1,0,1
62,0,91506.0,541076.0,24,425.0,4,1,1,3,0,2,1,0
26,0,52911.0,687296.0,12,694.0,12,0,1,2,1,0,1,0
48,1,105127.0,540726.0,60,624.0,22,2,0,2,0,0,0,1
48,0,131453.0,718556.0,12,691.0,17,2,1,2,3,1,0,0
64,0,102458.0,670111.0,48,739.0,4,1,0,0,1,1,1,0
64,0,30175.0,674965.0,48,503.0,24,0,0,2,3,0,0,0
40,0,137235.0,88320.0,24,785.0,15,0,0,0,0,2,0,1
50,0,72771.0,536758.0,24,330.0,18,2,1,1,3,1,0,0
31,0,145157.0,186649.0,24,687.0,13,2,1,3,2,1,1,1
48,1,139300.0,165354.0,48,733.0,24,2,1,2,0,2,0,1
45,1,104925.0,652297.0,12,675.0,15,0,0,3,2,2,1,0
59,0,84358.0,488625.0,12,643.0,14,1,0,3,3,0,1,0
53,0,65057.0,68625.0,24,742.0,21,1,1,2,2,2,1,1
21,0,24150.0,326233.0,60,374.0,3,0,0,2,0,0,1,0
47,1,22425.0,76487.0,12,454.0,6,3,0,1,2,2,0,0
33,0,34032.0,499054.0,48,729.0,15,1,1,0,3,1,1,1
61,1,20198.0,268071.0,36,662.0,23,2,1,0,3,0,0,0
23,0,136865.0,528011.0,36,747.0,21,3,1,3,3,0,1,1
59,0,157777.0,352282.0,36,533.0,20,3,0,2,0,0,0,1
26,0,41236.0,213895.0,60,561.0,21,1,0,1,3,2,1,0
28,0,105955.0,470424.0,24,424.0,20,3,0,1,0,1,0,0
47,1,121145.0,356205.0,48,544.0,7,3,0,1,2,0,1,1
29,1,112914.0,141376.0,60,841.0,16,1,0,1,3,0,1,1
57,0,120870.0,465106.0,48,784.0,15,1,1,1,2,0,0,1
53,0,134243.0,321652.0,48,421.0,22,3,0,0,1,0,1,1
62,1,32596.0,512132.0,24,424.0,9,2,0,0,2,1,1,0
64,1,150351.0,198056.0,36,848.0,9,0,0,0,1,2,1,1
44,1,129496.0,674457.0,24,469.0,1,3,1,2,2,1,0,0
35,1,148273.0,600347.0,60,423.0,8,3,1,3,0,0,1,1
52,0,156155.0,502785.0,60,334.0,16,2,1,1,2,1,1,0
52,1,138674.0,667697.0,60,386.0,10,3,0,2,0,0,0,0
44,0,138307.0,539653.0,24,500.0,9,3,1,1,0,2,0,1
61,1,37063.0,569992.0,48,668.0,21,0,1,0,3,2,0,0
32,1,85642.0,675567.0,48,376.0,24,0,1,2,0,2,0,0
59,1,108093.0,722568.0,12,358.0,16,0,0,0,1,0,0,0
22,1,53954.0,682804.0,60,730.0,3,1,1,1,3,1,1,0
23,1,45856.0,562828.0,48,799.0,15,1,0,1,3,2,1,0
57,0,20573.0,518366.0,12,408.0,19,0,0,3,2,0,1,0
37,0,53367.0,459139.0,48,577.0,14,0,1,1,0,0,0,0
22,1,117608.0,559777.0,60,367.0,24,1,0,0,0,1,1,1
22,1,78774.0,416188.0,36,368.0,20,2,1,1,1,2,0,1
48,0,41752.0,272549.0,60,464.0,4,3,0,3,2,0,0,0
43,1,73029.0,593453.0,24,788.0,5,3,1,3,2,1,1,1
57,1,148282.0,631491.0,48,604.0,16,0,1,0,3,2,0,1
52,0,69693.0,524965.0,48,664.0,0,2,1,2,3,1,0,1
53,1,134739.0,76321.0,24,678.0,24,1,0,1,3,1,1,1
21,1,73961.0,375441.0,24,642.0,18,0,1,3,1,0,0,0
39,0,144678.0,285014.0,36,653.0,3,2,0,1,1,0,0,1
22,0,92532.0,196498.0,48,715.0,16,2,1,1,3,0,1,1
64,0,99994.0,57772.0,48,408.0,8,2,0,2,2,1,0,0
46,1,74133.0,434583.0,36,796.0,23,1,0,3,1,0,0,1
52,0,79268.0,278389.0,12,640.0,1,1,1,1,2,1,1,1
26,0,49653.0,679430.0,36,682.0,7,3,1,3,2,1,1,0
52,0,139829.0,656024.0,60,832.0,14,3,1,0,0,0,1,1
24,0,146377.0,91924.0,48,599.0,6,2,1,0,3,2,1,1
31,0,19622.0,568014.0,24,438.0,5,2,1,1,0,2,0,0
37,0,66756.0,391296.0,60,658.0,0,1,0,3,3,2,0,0
58,1,58809.0,67723.0,48,798.0,14,3,1,1,3,1,1,1
44,1,34725.0,704468.0,36,684.0,22,2,1,3,2,1,0,0
25,0,69226.0,248786.0,60,579.0,6,3,0,3,3,1,0,0
54,0,99182.0,599931.0,48,782.0,24,3,1,2,2,0,1,1
26,0,47402.0,726684.0,12,410.0,16,2,1,2,2,1,1,0
42,1,22263.0,254432.0,12,438.0,1,1,0,2,3,0,0,0
31,1,65924.0,179999.0,24,734.0,8,2,1,1,2,0,1,1
36,1,92182.0,398690.0,48,808.0,8,2,1,2,2,2,1,0
53,1,53737.0,119973.0,12,572.0,12,3,1,2,2,2,1,0
29,1,119332.0,674122.0,36,398.0,5,2,0,0,1,2,0,0
26,1,107563.0,493449.0,48,403.0,5,1,1,3,2,0,1,0
36,1,146575.0,327681.0,36,513.0,19,2,0,3,1,0,0,1
49,1,119371.0,534509.0,36,464.0,19,1,1,2,1,0,0,0
23,1,56709.0,671810.0,12,819.0,20,1,0,3,2,1,0,1
40,0,39172.0,586900.0,48,583.0,2,3,1,0,2,0,1,0
56,0,29555.0,265049.0,60,816.0,16,0,0,0,1,2,1,1
39,0,71276.0,308615.0,12,463.0,16,0,0,2,1,2,1,0
46,0,75492.0,206703.0,12,363.0,11,3,0,0,2,0,1,0
23,1,107599.0,71348.0,48,390.0,15,2,0,3,2,0,1,0
39,1,29046.0,235804.0,48,416.0,14,3,0,1,3,2,0,1
40,0,134021.0,175832.0,36,566.0,12,1,0,3,1,0,0,1
52,1,22853.0,334923.0,48,439.0,22,0,1,1,1,2,0,1
27,0,138900.0,323780.0,36,545.0,0,3,1,2,3,1,1,1
61,1,77129.0,646177.0,12,694.0,16,2,0,1,1,2,0,1
53,0,132130.0,93551.0,24,786.0,2,3,0,0,0,1,0,1
60,1,139789.0,444772.0,60,775.0,14,0,0,3,1,0,1,1
59,1,56890.0,706923.0,12,816.0,3,3,0,1,3,0,1,0
38,0,84017.0,611107.0,48,483.0,3,3,1,3,0,1,0,1
60,1,150596.0,375914.0,60,319.0,17,0,0,2,2,0,0,0
21,0,118424.0,460182.0,24,823.0,16,1,1,2,3,1,1,0
31,0,33048.0,252781.0,24,828.0,18,1,1,0,3,0,1,0
48,0,72912.0,493105.0,36,446.0,10,0,0,2,2,2,1,0
45,0,52008.0,722347.0,60,603.0,19,3,0,1,3,0,1,0
43,1,149132.0,588884.0,36,527.0,2,0,1,2,1,2,0,0
51,1,101559.0,99182.0,12,401.0,7,1,1,0,2,2,0,1
50,1,73337.0,389307.0,60,716.0,13,2,0,3,3,1,1,0
62,0,128616.0,341454.0,12,515.0,0,3,0,3,2,0,0,0
55,1,31350.0,358232.0,36,706.0,13,1,0,2,2,1,0,1
27,0,42354.0,693091.0,60,698.0,1,3,1,1,2,0,1,0
36,1,63186.0,179978.0,36,798.0,22,0,1,0,0,2,0,1
46,1,46145.0,609667.0,60,764.0,3,2,0,1,3,2,0,0
22,1,104123.0,511828.0,36,381.0,23,0,1,0,0,0,0,1
21,0,38581.0,298517.0,24,664.0,18,2,1,2,3,0,1,1
32,1,106929.0,480097.0,36,462.0,5,3,0,0,1,1,1,0
25,1,41051.0,348557.0,24,347.0,24,3,0,0,1,0,0,0
57,0,69474.0,177084.0,36,810.0,0,0,1,2,1,0,1,1
52,1,109748.0,745475.0,60,628.0,16,2,1,1,3,0,1,0
29,0,143995.0,622004.0,60,415.0,7,2,0,2,2,1,1,0
61,1,87626.0,731738.0,60,636.0,18,3,0,0,2,0,0,0
55,0,24960.0,738012.0,48,446.0,20,0,0,2,0,2,0,0
39,0,54408.0,243502.0,12,622.0,0,2,0,0,0,1,1,1
36,1,112006.0,184539.0,60,742.0,4,3,0,2,1,1,0,1
23,0,75134.0,464226.0,24,312.0,15,1,1,3,0,2,0,0
40,0,150413.0,561863.0,60,793.0,5,0,1,3,3,2,0,0
44,0,108327.0,161999.0,48,586.0,7,1,1,2,3,2,0,1
53,0,149410.0,154793.0,24,413.0,12,0,1,1,0,0,0,1
44,0,29344.0,497373.0,48,779.0,15,3,0,0,0,2,1,1
31,0,150822.0,410321.0,24,321.0,2,2,0,3,0,0,0,0
28,1,85957.0,52289.0,36,648.0,18,2,0,1,0,1,0,1
56,0,123423.0,740336.0,12,619.0,11,2,1,0,1,1,0,1
58,0,76053.0,738956.0,12,425.0,15,0,1,3,1,2,1,0
60,1,95454.0,297368.0,48,576.0,10,3,1,3,0,0,1,1
40,1,108600.0,126365.0,12,503.0,9,1,0,2,3,2,1,1
55,1,140732.0,215211.0,48,493.0,24,3,1,0,1,2,0,1
45,1,55641.0,219785.0,48,846.0,19,1,0,1,3,0,1,1
55,1,47711.0,112588.0,48,585.0,3,0,0,1,2,2,1,0
45,1,88342.0,103646.0,12,356.0,11,0,0,1,3,1,1,0
49,1,124896.0,305798.0,48,602.0,22,1,0,0,0,2,1,1
38,0,105833.0,522238.0,12,462.0,1,1,0,1,2,0,0,0
38,0,74276.0,159735.0,48,318.0,23,1,0,1,1,0,1,0
22,1,37541.0,195683.0,60,669.0,21,3,1,1,1,1,1,1
55,0,112457.0,672259.0,48,563.0,18,1,0,2,2,0,0,0
36,0,62813.0,576437.0,24,412.0,24,0,0,2,3,0,0,0
61,0,157892.0,402246.0,48,787.0,4,0,1,0,1,1,1,1
56,1,42070.0,361333.0,36,626.0,7,2,0,0,0,2,0,1
53,1,98559.0,606956.0,48,841.0,6,1,1,1,2,1,1,1
24,0,59786.0,446889.0,24,364.0,13,3,1,2,0,2,0,0
53,1,155809.0,652492.0,24,591.0,23,3,1,3,2,1,0,1
34,0,54062.0,251830.0,12,324.0,22,3,0,3,1,2,1,1
41,0,69571.0,236501.0,60,848.0,2,2,0,1,3,1,0,1
40,0,43510.0,456885.0,48,300.0,17,0,1,1,2,2,1,0
28,0,37426.0,205140.0,12,848.0,15,3,0,2,2,1,0,1
27,1,55265.0,180507.0,60,440.0,22,0,0,2,0,2,1,0
23,1,84150.0,265160.0,48,487.0,18,2,1,2,1,1,0,1
37,1,105312.0,223321.0,36,427.0,18,1,1,0,0,0,0,0
53,0,107613.0,601672.0,48,500.0,17,1,0,0,1,2,0,1
32,1,92910.0,561998.0,24,426.0,19,1,1,1,0,1,0,0
42,0,70375.0,646217.0,24,556.0,15,3,1,0,2,2,0,0
42,1,139826.0,640441.0,36,846.0,7,1,1,2,0,2,1,1
50,0,53435.0,115388.0,12,493.0,0,3,0,2,3,1,0,0
58,0,114443.0,595689.0,60,403.0,16,2,0,0,1,2,1,0
58,0,152055.0,558727.0,48,834.0,11,2,0,3,1,1,1,1
28,1,41510.0,683791.0,24,564.0,20,3,1,1,2,0,1,0
47,1,112071.0,272601.0,12,683.0,10,0,0,3,1,2,0,1
47,1,24640.0,167834.0,36,559.0,4,1,1,1,3,0,1,0
54,1,62547.0,74084.0,24,713.0,11,1,0,3,0,2,0,1
41,0,72620.0,291459.0,36,657.0,16,1,0,0,2,2,1,0
50,1,133608.0,674929.0,48,374.0,5,3,1,1,3,2,1,0
53,1,25564.0,145111.0,60,654.0,0,2,0,1,1,1,1,1
48,0,131824.0,489042.0,24,487.0,4,1,1,1,1,0,1,0
53,0,97273.0,469667.0,24,589.0,24,2,0,2,3,2,1,0
25,0,92859.0,702587.0,48,344.0,13,1,0,2,0,1,0,0
39,1,128017.0,202982.0,12,382.0,4,1,1,3,0,2,1,0
24,0,141618.0,338185.0,60,422.0,21,3,1,0,2,1,1,1
55,0,143341.0,367825.0,24,657.0,23,0,1,2,1,2,0,1
37,0,47430.0,274386.0,60,827.0,0,3,0,1,3,0,0,0
64,1,45788.0,383715.0,24,365.0,17,1,0,2,0,0,0,0
48,0,87346.0,236553.0,60,674.0,15,1,0,0,2,2,1,1
50,1,114122.0,501792.0,36,461.0,8,0,1,2,1,1,1,1
49,1,57974.0,541174.0,24,679.0,18,2,1,1,1,2,1,1
26,0,125309.0,691844.0,60,657.0,21,2,1,3,2,1,1,1
55,0,34371.0,235246.0,12,487.0,4,1,0,1,2,2,1,0
61,1,63084.0,590448.0,36,621.0,1,2,0,0,0,1,1,0
57,0,79916.0,,36,749.0,14,1,1,3,3,0,0,1
44,0,91972.0,551083.0,12,773.0,6,0,0,2,1,2,0,1
49,1,30984.0,57633.0,60,312.0,3,0,1,2,3,0,1,0
51,1,51039.0,89104.0,48,483.0,0,1,0,2,1,0,1,0
55,0,103431.0,108388.0,12,410.0,12,0,0,3,1,2,1,0
53,1,101691.0,580302.0,60,807.0,19,3,1,1,3,2,1,1
41,0,76606.0,132578.0,12,589.0,21,3,0,3,2,1,1,1
52,0,159688.0,729115.0,12,594.0,6,0,0,3,0,1,0,0
43,0,120665.0,604678.0,24,750.0,14,1,1,0,1,0,0,0
53,1,123373.0,325855.0,60,514.0,22,1,1,3,2,1,1,1
23,0,42574.0,131658.0,48,326.0,13,0,0,2,1,1,0,0
38,0,152502.0,97993.0,24,530.0,22,2,1,1,0,2,1,1
45,0,159888.0,245768.0,12,620.0,18,3,0,1,1,1,1,1
62,1,50733.0,198285.0,12,532.0,21,2,1,1,0,0,1,1
51,1,20050.0,491000.0,12,736.0,23,1,0,2,0,1,0,0
23,1,127996.0,582015.0,60,832.0,19,1,0,2,1,0,0,1
60,1,51933.0,568646.0,60,702.0,23,2,1,2,1,2,1,1
44,1,42951.0,367252.0,24,352.0,17,0,0,2,0,0,0,0
52,0,50413.0,297681.0,48,612.0,9,2,0,2,2,1,0,1
42,1,130573.0,134018.0,24,580.0,8,2,1,3,3,2,1,0
43,1,153566.0,426601.0,36,330.0,24,3,1,2,0,1,0,1
22,1,140744.0,334054.0,12,636.0,7,3,0,2,1,2,0,1
47,0,107431.0,691176.0,12,482.0,9,2,1,2,1,2,1,0
62,1,61001.0,269104.0,12,322.0,16,2,1,2,2,1,1,0
22,1,85364.0,233510.0,24,843.0,1,1,0,1,3,1,0,1
46,0,142988.0,149847.0,24,745.0,5,3,0,2,0,2,1,1
37,1,63028.0,484717.0,12,373.0,4,3,1,3,0,2,0,0
60,0,149878.0,494162.0,24,309.0,8,1,1,3,3,1,1,0
53,0,142343.0,336037.0,60,783.0,4,0,1,3,0,0,1,1
29,0,146301.0,116329.0,60,755.0,17,3,0,0,3,1,1,1
63,0,144295.0,71007.0,24,459.0,19,3,0,1,1,2,1,1
59,0,52636.0,734892.0,12,313.0,8,0,0,2,3,1,0,0
49,1,42262.0,356397.0,24,477.0,16,3,0,0,0,0,1,1
62,0,98435.0,52323.0,24,711.0,16,3,0,2,3,1,1,1
46,0,146583.0,152356.0,24,352.0,11,0,0,0,2,2,1,1
55,1,59844.0,675232.0,36,707.0,6,0,0,0,1,1,0,0
45,0,82754.0,244451.0,60,321.0,2,2,1,3,1,2,0,0
44,1,95129.0,318600.0,48,329.0,9,1,1,3,3,2,1,0
33,1,58042.0,595655.0,48,559.0,1,1,0,0,0,1,1,0
27,1,79665.0,94624.0,36,504.0,24,0,0,3,2,2,1,1
56,0,134953.0,443322.0,24,358.0,2,0,0,0,1,2,1,0
40,0,136533.0,274565.0,36,770.0,15,3,1,1,1,0,1,1
21,0,91781.0,108008.0,36,765.0,1,2,0,3,0,0,1,1
28,1,84262.0,417539.0,12,311.0,23,2,1,3,0,0,0,0
36,0,64600.0,156492.0,60,589.0,9,0,1,3,2,0,1,1
34,0,94898.0,112240.0,48,653.0,5,3,1,1,3,2,1,1
32,0,48448.0,366459.0,24,374.0,21,3,1,0,0,1,1,1
43,1,44172.0,312900.0,48,740.0,10,1,1,2,3,2,1,0
35,1,25657.0,501227.0,48,540.0,22,1,0,3,2,2,1,0
48,0,130855.0,338522.0,60,453.0,6,3,0,0,3,2,1,0
54,0,25906.0,175327.0,48,395.0,14,1,1,1,1,1,0,0
22,0,79413.0,689991.0,48,593.0,5,0,0,2,3,0,0,0
52,0,72028.0,205575.0,36,508.0,19,3,1,3,2,2,0,0
43,1,25287.0,539499.0,60,642.0,8,1,1,1,2,2,0,0
42,1,51660.0,533948.0,12,387.0,21,2,0,1,2,0,0,0
45,1,78504.0,347257.0,24,689.0,19,3,0,2,3,2,0,1
42,1,120979.0,638357.0,48,624.0,11,3,0,0,1,1,1,1
42,0,52701.0,269189.0,24,456.0,18,2,0,3,0,2,1,0
62,0,101300.0,438465.0,12,436.0,19,0,0,3,1,2,1,0
26,0,101560.0,291051.0,24,727.0,2,2,1,0,3,0,1,1
